core_rank_35_30_35,cod_ativo,data,score_general_35_30_35,score_high_value,score_high_short_interest,score_low_momentum,tail_35_30_35,quality_score,quality_percentile_high_is_better,quality_quartile_1_best_4_worst,components_available,valid_for_core,quality_data,quality_age_days
37,VULC3,2026-08-12,0.34119406491454446,0.3646593794380385,0.4474446042113537,0.2266568595652141,,56.09748539245703,0.5547945205479452,2.0,3,True,2026-07-30,13.0
38,YDUQ3,2026-08-12,0.2696787012135493,-0.1481175224157775,-0.0998200105454139,1.0041881063505589,,37.04062316566476,0.2054794520547945,4.0,3,True,2026-07-30,13.0
39,MDNE3,2026-08-12,0.22426668487370677,0.3471154824901821,0.0547559581023387,0.2467127959184041,,82.03858233112526,0.9383561643835616,1.0,3,True,2026-07-30,13.0
40,LAVV3,2026-08-12,0.17688244566346184,0.0594394249358491,-0.2834897455989191,0.6889302017588297,,66.54947739880855,0.7328767123287672,2.0,3,True,2026-07-30,13.0
41,SMFT3,2026-08-12,0.10766145409383822,0.3274892056709311,0.0594759237548891,-0.0708644143355839,,51.2015050149268,0.4520547945205479,3.0,3,True,2026-07-30,13.0
42,ARML3,2026-08-12,0.09167163540609502,0.1915058706042728,-0.3733642671193364,0.3904396023725728,,29.80147565584352,0.136986301369863,4.0,3,True,2026-07-30,13.0
43,IGTI11,2026-08-12,0.0681956693475921,0.4209375435240163,-0.2825630046689509,0.0161040871853476,,77.17002110658827,0.8767123287671232,1.0,3,True,2026-07-30,13.0
44,ALUP11,2026-08-12,0.057474050193584265,0.6287530467044409,-0.4282233013518501,-0.0974929307069,,44.67270654304236,0.3424657534246575,3.0,3,True,2026-07-30,13.0
45,MULT3,2026-08-12,0.05505190832444987,0.388079119742892,-0.3937900214189606,0.1067463509717882,,44.66304839439167,0.3356164383561644,3.0,3,True,2026-07-30,13.0
46,VIVT3,2026-08-12,0.02989060553218606,0.0338580147257283,-0.5697279399346152,0.5398819495959021,,64.67640937557572,0.6986301369863014,2.0,3,True,2026-07-30,13.0
47,BRSR6,2026-08-12,0.019132909335530433,0.4252199475696991,-0.592733384229397,0.1375026941570139,,78.61307399189658,0.8904109589041096,1.0,3,True,2026-07-30,13.0
48,RECV3,2026-08-12,0.0016987945820953624,-0.1377251036672148,0.1765580004134924,-0.0087566264526491,,55.823554784997576,0.547945205479452,2.0,3,True,2026-07-30,13.0
49,EGIE3,2026-08-12,-0.005684121843802931,0.1819684362899481,-0.7965576784979244,0.4845549400116929,,47.26038368762249,0.3767123287671233,3.0,3,True,2026-07-30,13.0
50,CURY3,2026-08-12,-0.0115951593648424,0.1242701646587641,0.8955711024316123,-0.9250315649282672,,95.79515355280678,1.0,1.0,3,True,2026-07-30,13.0
51,RADL3,2026-08-12,-0.02300330779174984,0.6542772014577342,-0.6384913852002085,-0.1727226078339835,,52.156330762722206,0.4726027397260274,3.0,3,True,2026-07-30,13.0
52,B3SA3,2026-08-12,-0.04774244949975606,0.127058424051589,-0.873404504287929,0.4851670096244758,,65.43257999595956,0.726027397260274,2.0,3,True,2026-07-30,13.0
53,INTB3,2026-08-12,-0.052064464639541175,0.2893184484848569,0.1296380952278962,-0.5491924290788855,,58.74895928291941,0.6027397260273972,2.0,3,True,2026-07-30,13.0
54,UNIP6,2026-08-12,-0.07940441614412624,-1.38632616293385,0.850147121454301,0.4307588698469454,,29.59853510226644,0.1301369863013698,4.0,3,True,2026-07-30,13.0
55,BPAC11,2026-08-12,-0.08446969358848444,0.2236641991980366,-0.643501051433275,0.0865661489205293,,83.86522043218214,0.952054794520548,1.0,3,True,2026-07-30,13.0
56,PETR4,2026-08-12,-0.0910534613351383,-0.0484620604182096,-0.1980964274266349,-0.0418937484593556,,64.19729006482737,0.684931506849315,2.0,3,True,2026-07-30,13.0
57,ECOR3,2026-08-12,-0.10655111415426965,-0.4762110161635843,-0.4284634275912924,0.5390336279439215,,48.63977674968677,0.4178082191780822,3.0,3,True,2026-07-30,13.0
58,ABEV3,2026-08-12,-0.11435249578780826,-0.275102490840417,-0.1734592975880632,0.0970604722364475,,92.4197269741607,0.9931506849315068,1.0,3,True,2026-07-30,13.0
59,RDOR3,2026-08-12,-0.12909980215012362,0.5936149488982762,-1.0106096922166534,-0.0962346474272122,,86.64112983573223,0.9657534246575342,1.0,3,True,2026-07-30,13.0
60,TFCO4,2026-08-12,-0.13021093597949057,0.1943176752433143,-1.005782649915896,0.2957504933146235,,50.70933308592084,0.4315068493150685,3.0,3,True,2026-07-30,13.0
61,FESA4,2026-08-12,-0.1330981899899666,-0.6381855678673575,-0.972074380366598,1.09111163678168,,44.59537064462139,0.3287671232876712,3.0,3,True,2026-07-30,13.0
62,LEVE3,2026-08-12,-0.14317370728147183,-0.1534232914144117,-0.8325249602351871,0.457948379383224,,81.65276217902074,0.9246575342465754,1.0,3,True,2026-07-30,13.0
63,AXIA3,2026-08-12,-0.14787315061338951,-0.006277418883292,-0.733310677247586,0.2123347119143958,,41.73568709482888,0.273972602739726,3.0,3,True,2026-07-30,13.0
64,HYPE3,2026-08-12,-0.15028905290822206,0.6633977395295879,-1.144539404695659,-0.1117612580996575,,44.24649480814432,0.3219178082191781,3.0,3,True,2026-07-30,13.0
65,BBAS3,2026-08-12,-0.22391460530115193,-0.9162589954255363,0.1323225814192349,0.1630836247771866,,18.444916071773104,0.0547945205479452,4.0,3,True,2026-07-30,13.0
66,ISAE4,2026-08-12,-0.2243888935597487,-0.3760329207911735,-0.7846524663866191,0.4074810532375651,,26.19572591587517,0.1027397260273972,4.0,3,True,2026-07-30,13.0
67,CAML3,2026-08-12,-0.24204491102574188,-0.9806035840720548,-0.1803271926765171,0.4436128605783783,,37.07460358634634,0.2123287671232876,4.0,3,True,2026-07-30,13.0
68,CPFE3,2026-08-12,-0.267806833623104,-0.4035706780938755,-0.2339803244038399,-0.1610371399117019,,51.95141715664104,0.4657534246575342,3.0,3,True,2026-07-30,13.0
69,BBDC4,2026-08-12,-0.27287135464715057,0.0811224467112433,-0.7271681673061531,-0.2374678880121137,,64.67417518811499,0.6917808219178082,2.0,3,True,2026-07-30,13.0
70,SUZB3,2026-08-12,-0.28843171635377884,0.0395902333860246,-0.5129196074851845,-0.4240354736952346,,35.44728620108776,0.1917808219178082,4.0,3,True,2026-07-30,13.0
71,SAPR11,2026-08-12,-0.29959913153316464,-1.4134128536983162,-0.9275608230354904,1.3524674690625518,,56.77719357756671,0.5616438356164384,2.0,3,True,2026-07-30,13.0
72,PNVL3,2026-08-12,-0.30979830852350465,0.2488383781531097,-1.0977155424630018,-0.1930773661091215,,45.15291108263055,0.3561643835616438,3.0,3,True,2026-07-30,13.0
73,ABCB4,2026-08-12,-0.31940024214252194,-0.3531553109960991,0.2062954008400351,-0.7362414387025651,,40.837232297896975,0.2602739726027397,3.0,3,True,2026-07-30,13.0
74,PSSA3,2026-08-12,-0.3446052253653108,-0.0994270665940196,-0.2025966483636463,-0.7115050215666001,,74.47891032516502,0.8356164383561644,1.0,3,True,2026-07-30,13.0
75,BMOB3,2026-08-12,-0.35294332755972885,-0.2967174463594785,-0.6111963685988324,-0.1878094592978904,,90.11680759717352,0.9863013698630136,1.0,3,True,2026-07-30,13.0
