month,date,source_file,IBOV,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
2009-08,2009-08-31,grid_20qvjmd3.xlsx,59.59872144219764,15.714300309525397,35.5717623644749,29.316859404433266,69.06098054070104,37.24845188746666,,32.05946218775806,,30.521537585319454,,64.84978532203813
2009-09,2009-09-30,grid_20qvjmd3.xlsx,65.08128944827104,16.827045279266137,36.76021269167105,24.738495158948666,72.283660274592,38.491780331051814,,34.844119508445644,,33.37855644346014,,64.09879220240326
2009-10,2009-10-30,grid_20qvjmd3.xlsx,68.34684133154376,17.39106593949396,42.26122647897238,26.75795290914772,74.52371711608777,39.834886898059736,,34.39824982055621,,35.725870851863505,,58.981290647150686
2009-11,2009-11-30,grid_20qvjmd3.xlsx,71.97750038427716,19.117476098962218,43.22571563383695,29.697682180136397,78.65496195351423,41.48810661259872,,33.16174431756851,,35.42132013630185,,61.31844671891721
2009-12,2009-12-31,grid_20qvjmd3.xlsx,70.80443096114776,19.286839980187494,46.88085809363374,29.30935322140741,80.84287405019654,42.37761093316384,,32.901588439646154,,35.83183888174091,,62.88387002820306
2010-01,2010-01-29,grid_20qvjmd3.xlsx,68.72509909530027,16.029295300590164,50.70357213566885,27.389479752259867,79.05888196088605,40.31793371358104,,28.692170129357624,,41.218663112726404,,65.25073446222332
2010-02,2010-02-26,grid_20qvjmd3.xlsx,68.98381580464718,16.026642845006197,52.71184959112273,28.140017900201002,77.18439248024904,42.123953375762106,,27.43446434930647,,42.140942551025454,,61.3977900492523
2010-03,2010-03-31,grid_20qvjmd3.xlsx,76.65328470414312,16.199860099695123,53.38361983372787,27.005908433683818,79.07047109822737,43.201234239717124,,26.936039195495542,,52.80065886175523,,68.32132735806515
2010-04,2010-04-30,grid_20qvjmd3.xlsx,78.2009178355586,16.97296080952249,54.02335903928706,28.018076464564263,80.76879350307223,43.054475655359894,,26.62988590820994,,55.98794431853445,,65.91979001159422
2010-05,2010-05-31,grid_20qvjmd3.xlsx,73.04908055339754,16.21331102566538,56.7512925113916,28.0748869190276,73.8574695827949,37.88340565685081,,24.28295487880895,,62.67270446006984,,66.89173498408765
2010-06,2010-06-30,grid_20qvjmd3.xlsx,70.91859973368419,18.606670535467526,59.35033531349352,28.51763686218754,73.4522984965967,37.97171484052457,,25.262575711133838,,63.75802930775446,,64.59345349414968
2010-07,2010-07-30,grid_20qvjmd3.xlsx,72.16504041584511,17.539223001640973,61.9508819976913,29.522013672612964,73.71071676712255,40.10732923969878,,25.05003621776615,,68.00705268392873,,66.4733902494831
2010-08,2010-08-31,grid_20qvjmd3.xlsx,74.44993334787473,18.593232393202968,65.22492179465354,30.67456528810831,70.97869382729803,40.276121672142274,,25.24774675105882,,75.09134877798593,,65.90744851322718
2010-09,2010-09-30,grid_20qvjmd3.xlsx,81.0451495840498,19.068082815261437,67.20201333777743,26.841302870888374,69.73092111200201,43.32155748992265,,28.12723739296594,,79.81108313354137,,67.48022971064869
2010-10,2010-10-29,grid_20qvjmd3.xlsx,82.35794703659795,23.412118433370217,70.14910548466393,29.156319108858586,70.5618094725593,44.29908535846616,,29.644950290450662,,82.89126910425715,,68.86199509956586
2010-11,2010-11-30,grid_20qvjmd3.xlsx,85.39163773283157,24.623973886220753,72.49245971003693,30.251269585887446,72.43465867536266,45.20749811044744,,31.087280647184667,,87.79469427274603,,68.57346525457369
2010-12,2010-12-31,grid_20qvjmd3.xlsx,89.50420694309157,25.364088404374343,74.95779086425645,31.513815912170333,76.60745358935073,45.94537247607687,,35.4644296925694,,88.68522333789613,,63.60575304797518
2011-01,2011-01-31,grid_u4lflnxf.xlsx,93.622474823225,26.411578991914457,76.56278338087425,28.644926981978386,74.87206101814658,47.66856207139196,65.79809670280162,35.84193178623903,,90.46033252384574,,64.75280637665233
2011-02,2011-02-28,grid_u4lflnxf.xlsx,95.42530018945182,26.756669097271956,77.63348685828292,28.86227113007508,73.39375258602365,48.84500169653052,65.78039971889963,35.889022275311156,,92.78206710073856,,69.38813861073078
2011-03,2011-03-31,grid_u4lflnxf.xlsx,93.87492585304071,27.756929231343076,76.77438341541573,29.71050859725633,74.12585444443309,48.97387046716648,65.22799872976903,36.41181464453983,,90.94334583487006,,67.364393648597
2011-04,2011-04-29,grid_u4lflnxf.xlsx,93.60278297206813,28.98818906892217,72.54068471003586,30.879799447942784,75.43647119440867,48.38345562750071,66.63635870735416,38.86874412617038,,96.20903008055065,,66.00796566259287
2011-05,2011-05-31,grid_u4lflnxf.xlsx,88.79510927103283,30.946328319484717,74.32862726360308,35.71382605336099,73.02309729747888,44.653988735116236,65.60745752913384,37.667794795973094,,93.00900733311954,,63.97974783223713
2011-06,2011-06-30,grid_u4lflnxf.xlsx,95.37572666649791,56.029803710757584,74.08083825042976,36.8096890402661,77.53589230897572,52.08804021731576,62.33057844614699,37.24650311671554,,96.86372866605622,,65.54852829012171
2011-07,2011-07-29,grid_u4lflnxf.xlsx,100.05162176107278,68.68181463704228,74.01185274109095,36.51254598306991,81.59881899801822,51.33810643486755,64.75577920281684,35.7504552522517,,101.73935331853745,,64.26650463245964
2011-08,2011-08-31,grid_u4lflnxf.xlsx,95.7762546813522,70.2008593711551,72.31433466343402,42.500766976675166,84.59019218178018,50.028010377068895,52.01532401737667,35.54682261895153,,96.61888817234464,,66.02064755599021
2011-09,2011-09-30,grid_u4lflnxf.xlsx,94.91316752937267,69.13501488979922,71.71534634622981,44.05068159111592,77.79177258787615,52.49862026476614,47.8468989357501,34.144239043952105,,91.56279004643089,76.55981763237901,67.76541159555734
2011-10,2011-10-31,grid_u4lflnxf.xlsx,91.55892187554547,69.79896275818109,70.758934386302,42.506903723397244,73.17998902309483,52.004760497978594,45.508107856567065,33.74707643735976,,88.92205664937757,79.12180727320556,66.52376838114364
2011-11,2011-11-30,grid_u4lflnxf.xlsx,93.17168153158242,72.43087887203073,72.10239278158258,42.659452607841786,76.07585031324618,52.20215858968452,34.700702561728114,36.014483189536314,,88.7643565742861,80.69465549749692,64.76836370883827
