month,date,source_file,IBOV,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,Not Classified
2009-09,2009-09-30,grid_20qvjmd3.xlsx,9160.297840549,717.7082995734,390.7425429973,1687.1919824743,26521.992946674,6985.2663614825,,481.841152599,,7841.6340096077,,1755.3580589028,861.9663609595
2009-10,2009-10-30,grid_20qvjmd3.xlsx,9619.9296044267,741.7649478,449.2155484269,1824.9211734857,27343.9044481753,7229.0055972808,,475.6754532686,,8393.0892688355,,1615.2142701073,917.8394685788
2009-11,2009-11-30,grid_20qvjmd3.xlsx,10130.9507990353,815.399913378,459.4675822828,2025.4138722044,28859.7220758795,7529.0223790661,,458.5764636784,,8321.5410803198,,1679.2177498068,1050.7124392069
2009-12,2009-12-31,grid_20qvjmd3.xlsx,9965.8393607924,822.6236333589,498.3199053566,1998.9294194711,29662.500864,7690.4444945255,,454.9789037503,,8417.9843690303,,1722.0871756904,996.086274683
2010-01,2010-01-29,grid_20qvjmd3.xlsx,9673.1700027944,683.6826122838,538.9534299356,1867.991983556,29007.9265739063,7316.6661482468,,396.7690537379,,9683.5125582145,,1786.904224746,1089.996679137
2010-02,2010-02-26,grid_20qvjmd3.xlsx,9709.5848024094,683.5694795647,560.3004076196,1919.179492643,28320.1473912361,7644.4121835278,,379.3768965751,,9900.1839358991,,1681.3905825473,1118.5404848058
2010-03,2010-03-31,grid_20qvjmd3.xlsx,10789.075082854,690.9575538972,567.440986895,1841.8320069992,29012.1788076429,7839.9109034138,,372.4844351215,,12404.4742007157,,1870.9930164397,1158.05692626
2010-04,2010-04-30,grid_20qvjmd3.xlsx,11006.9069751206,723.9318988663,574.2410923822,1910.8629555531,29635.3195654762,7813.2780016942,,368.2508010134,,13153.2641035548,,1805.2264428423,1147.6178067416
2010-05,2010-05-31,grid_20qvjmd3.xlsx,10281.7774589307,691.5312637224,603.2376509973,1914.7374896618,27099.4479235388,6874.8620333292,,335.7963160607,,14723.7167551165,,1831.843347493,976.925556645
2010-06,2010-06-30,grid_20qvjmd3.xlsx,9981.9088020925,793.6129991394,630.8641667188,1944.9335120771,26950.7843853405,6890.8878748159,,349.3429815416,,14978.6924384266,,1768.9044558794,1140.9639581838
