month,Energy reported,IBOV,Brava Energia,Oleo e Gas Participacoes,PRIO,PetroReconcavo,Petrobras,Ex-Petrobras dynamic,Ex-Petrobras core (PRIO + Brava)
2014-03,30657.6193227397,10863.9912019571,,,,,30657.6193227397,,
2014-04,30669.2978323288,10885.2706433431,,,,,30669.2978323288,,
2014-05,29465.0029659178,11182.40257315,,,,,29465.0029659178,,
2014-06,29770.9642794082,11057.4390682972,,,,,29770.9642794082,,
2014-07,28583.3419509479,11294.3084906075,,,,,28583.3419509479,,
2014-08,29197.0874382027,11753.2473417033,,,,,29197.0874382027,,
2014-09,29713.5725974795,11234.3311949312,,,,,29713.5725974795,,
2014-10,28417.5929961206,10491.6850864606,,,,,28417.5929961205,,
2014-11,27400.5037392658,10142.2526218231,,,,,27400.5037392658,,
2014-12,23751.70048,9390.8632256243,,,,,23751.70048,,
2015-01,20076.1406055519,9114.363816116,,,,,20076.1406055519,,
2015-02,19511.5314304699,9196.5745273739,,,,,19511.5314304699,,
2015-03,17652.234827541,8856.0600535315,,,,,17652.234827541,,
2015-04,15999.5204770273,8613.7485548957,,,,,15999.5204770273,,
2015-05,18243.9263853115,8798.736616374,,,,,18243.9263853115,,
2015-06,18968.5828154754,9112.8924910014,,,,,18968.5828154754,,
2015-07,19366.2877460984,9058.7488773921,,,,,19366.2877460984,,
2015-08,18126.2329173333,8887.3233965241,,,,,18126.2329173333,,
2015-09,15299.9049428634,8191.0133325573,,,,,15299.9049428634,,
2015-10,15234.394984918,8130.8556847328,,,,,15234.394984918,,
2015-11,14499.3757446995,8169.2485399133,,,,,14499.3757446995,,
2015-12,13689.700352,7931.4097729592,,,,,13689.700352,,
2016-01,10267.6395358685,7605.2224976921,,,,,10267.6395358685,,
2016-02,9491.04197295342,7277.6524141503,,,,,9491.04197295342,,
2016-03,6269.25215912329,7329.8031638422,,,,,6269.25215912329,,
2016-04,6718.60661935342,7289.7894669903,,,,,6718.60661935342,,
2016-05,8149.23033670137,7621.2464267266,,,,,8149.23033670137,,
2016-06,9287.00215688767,7725.2043395212,,,,,9287.00215688767,,
2016-07,11264.5449012603,7804.089718712,,,,,11264.5449012603,,
2016-08,13743.1301077918,8319.4965152189,,,,,13743.1301077918,,
2016-09,12995.8300068822,8466.2432649311,,,,,12995.8300068822,,
2016-10,13090.9735136438,8744.3312115641,,,,,13090.9735136438,,
2016-11,13235.4292019507,8959.2442892621,,,,,13235.4292019507,,
2016-12,13903.0569731507,9312.0446931239,,,,,13903.0569731507,,
2017-01,16266.5727635288,10103.2008931023,,,,,16266.5727635288,,
2017-02,17396.0789398795,10542.281555421,,,,,17396.0789398795,,
2017-03,17036.398662137,10715.6458658162,,,,,17036.398662137,,
2017-04,15244.3545571945,10418.1689107697,,,,,15244.3545571945,,
2017-05,18633.4273816548,10324.1600814848,,,,,18633.4273816548,,
2017-06,18081.3291183342,10304.3419245021,,,,,18081.3291183342,,
2017-07,18690.5115886466,10260.0104573124,,,,,18690.5115886466,,
2017-08,17463.8731432329,10304.735824013,,,,,17463.8731432329,,
2017-09,16782.7974284274,10082.2129125069,,,,,16782.7974284274,,
2017-10,16084.9583370521,10148.8659376692,,,,,16084.9583370521,,
2017-11,16380.8046570959,10459.4927583063,,,,,16380.8046570959,,
2017-12,18573.9865438685,10870.1018472739,,,,,18573.9865438685,,
2018-01,20675.2763455123,11794.4992474787,,,,,20675.2763455123,,
2018-02,24672.9254098411,12755.1722610102,,,,,24672.9254098411,,
2018-03,26057.1317121753,13303.4039465067,,,,,26057.1317121753,,
2018-04,27653.0278961096,13819.4205542614,,,,,27653.0278961096,,
2018-05,31242.9382838356,14154.7305930742,,,,,31242.9382838356,,
2018-06,32289.096914411,14190.3357213692,,,,,32289.096914411,,
2018-07,33905.8481628932,14998.6007179106,,,,,33905.8481628932,,
2018-08,37167.0989838027,15506.1863331426,,,,,37167.0989838027,,
2018-09,40215.8085330411,17153.3111884182,,,,,40215.8085330411,,
2018-10,46121.9973316384,18211.6287511249,,,,,46121.9973316384,,
2018-11,44268.5998851507,17635.5556792081,,,,,44268.5998851507,,
2018-12,40895.598592,17236.6533938273,,,,,40895.598592,,
2019-01,38261.2847297049,16360.5918978485,,,,,38261.2847297049,,
2019-02,40482.485096918,17049.7278266039,,,,,40482.485096918,,
2019-03,39610.4062517159,17523.374060413,,,,,39610.4062517159,,
2019-04,39509.657163541,17325.3866335705,,,,,39509.657163541,,
2019-05,40185.3242810055,16818.031872114,,,,,40185.3242810055,,
2019-06,41076.0062405246,16933.5806126257,,,,,41076.0062405246,,
2019-07,40935.2073148852,16307.7223540856,,,,,40935.2073148852,,
2019-08,36937.3267934426,15482.5294414579,,,,,36937.3267934426,,
2019-09,37058.5714374645,15535.9462691453,,,,,37058.5714374645,,
2019-10,34620.2671786667,15437.0951305221,,,,,34620.2671786667,,
2019-11,35830.8080388197,15152.2360377196,,,,,35830.8080388197,,
2019-12,36095.299584,15200.4732763017,,,,,36095.299584,,
2020-01,36691.5466730959,14075.1634121047,,,,,36691.5466730959,,
2020-02,36448.8134936548,13998.7570471167,,,,,36448.8134936548,,
