month,date,source_file,IBOV,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,Not Classified
2011-02,2011-02-28,grid_u4lflnxf.xlsx,11.109556726106531,8.306323772162667,6.851631333271214,-4.700290839229417,1.3153921534390192,7.7389093358174375,,14.363270940563048,,5.525230954974147,,1.181028348061617,7.4961431192640635
2011-03,2011-03-31,grid_u4lflnxf.xlsx,4.767769110936255,9.0151179793596,2.3945868600399587,-5.892524201005509,-3.2929993030255935,6.383376418793177,,2.6363086452957276,,2.5143455412344333,,5.741267119729973,3.56592715668004
2011-04,2011-04-29,grid_u4lflnxf.xlsx,-0.021035464404095178,9.308596136787834,-5.396352915460779,7.512587178366453,0.7510057090229495,1.488582487198215,1.2659442695929686,8.107194781061052,,6.1611781083252675,,1.9198385236434836,0.24485690710278085
2011-05,2011-05-31,grid_u4lflnxf.xlsx,-7.201217173718574,14.547060512678623,-4.350269535235111,21.30026532329625,-0.5063024926811993,-8.97084171320626,-0.26325460094491726,4.837401740223022,,0.24429628381096496,,-8.11493463547174,-5.7184129839594116
2011-06,2011-06-30,grid_u4lflnxf.xlsx,1.586078838522801,70.23982472303136,-3.571412948578393,21.426029160719057,4.49765713902852,6.164846793045628,-4.543667396663835,2.2664764232305012,,6.306839225632954,,-2.732583593830728,-26.16453568367014
2011-07,2011-07-29,grid_u4lflnxf.xlsx,6.662615475523821,86.25959837602002,2.007767967607758,16.755369651785934,7.852392789080708,5.92753625116155,-2.862740442521936,-8.36274313628046,,5.589096211041091,,-2.673685437521458,-34.08385042373162
2011-08,2011-08-31,grid_u4lflnxf.xlsx,7.568321809741363,81.91061932679146,-2.747379448264361,17.398422405932344,14.704253579476735,11.363941940607482,-23.21510035253656,-5.795470548375243,,3.8077910331843032,,3.140094169843668,-32.148471285763705
2011-09,2011-09-30,grid_u4lflnxf.xlsx,-0.48616610039926966,21.017757193059296,-3.2452145533955044,17.957972572851663,0.32947190771078133,0.7851520543569138,-26.44458233901536,-8.69641882098165,,-5.628016470183934,,3.3261153072669343,-5.397978374192626
2011-10,2011-10-31,grid_u4lflnxf.xlsx,-8.870355044887877,1.6134692157073596,-4.4946442925844385,15.201057619695016,-10.889277920947778,1.2901970508876581,-35.2732445962345,-5.76692138994275,,-13.465396511916522,,3.4520730842074334,3.2962923239866218
2011-11,2011-11-30,grid_u4lflnxf.xlsx,-2.757096150888306,3.127215951094465,-0.2935145225335458,0.37267591747097867,-10.608745521161543,4.254079021455904,-40.47784343264071,1.3070393923718686,,-8.478907234902868,,-1.915026508606347,12.479533674233
2011-12,2011-12-30,grid_u4lflnxf.xlsx,-5.437012468633058,5.58351738918595,7.994141327200049,2.257569659635113,-5.029790401333416,0.6086858100070415,-31.68644362737809,12.981457870678238,,-8.20242947649022,5.332786147730201,-4.374784893667457,8.217811896503905
2012-01,2012-01-31,grid_u4lflnxf.xlsx,-7.744098250112195,-2.3161238054276954,-2.6541994503741964,10.683807274863973,-0.04560169931742697,2.1879362389761563,-21.30535409226161,10.168232732238765,,-7.378571911737082,2.2352226363425083,-0.9007979615744941,6.581805454389728
