seam_start,revision_month,target,revision_3m_log_pct
2023-01,2023-03,IBOV,1.0059765847028914
2023-01,2023-03,Communication Services,-0.6791539872506406
2023-01,2023-03,Consumer Discretionary,2.287710699800747
2023-01,2023-03,Consumer Staples,-5.5718836208512466
2023-01,2023-03,Energy,-2.6873866521752077
2023-01,2023-03,Financials,3.149451718105165
2023-01,2023-03,Health Care,-7.553366208037379
2023-01,2023-03,Industrials,-0.9547724512798718
2023-01,2023-03,Information Technology,11.68675861634281
2023-01,2023-03,Materials,3.2395275839846347
2023-01,2023-03,Real Estate,14.485800796713438
2023-01,2023-03,Utilities,6.320067247077371
