target,sample,specification,n,r2,beta_swap,beta_std_swap,se_hac_swap,t_hac_swap,p_hac_swap
IBOV constant basket,ex_2013_14,swap_only,172,0.07401446019069946,2.4342331361870526,0.2720559872355312,1.3212006364789635,1.8424401782566135,0.06541078931595523
IBOV constant basket,ex_2013_14,focus_swap,172,0.457959168979985,3.1642722009865265,0.3536469801203066,0.8848103549004677,3.5762151555544075,0.00034860477328035877
IBOV constant basket,ex_2013_14,focus_bcom_fx_swap,172,0.4762804452556585,2.7444836190773123,0.30673035763919015,0.9318662987532075,2.9451474130455195,0.0032280082677045296
IBOV constant basket,ex_2013_14,full,172,0.507313238240414,1.679184134126619,0.18766982117236042,0.7062676610983024,2.3775463986491383,0.01742825019615868
IBOV constant basket,ex_2020_21,swap_only,172,0.003245907187507835,0.39385407906528375,0.05697286360635059,0.9429787873729059,0.4176701367403423,0.6761883093409065
IBOV constant basket,ex_2020_21,focus_swap,172,0.10103879523680548,1.1052639109056557,0.15988167545323773,0.8463066879652577,1.305985083921526,0.19155763010378868
IBOV constant basket,ex_2020_21,focus_bcom_fx_swap,172,0.16701023361290923,0.7853778499767843,0.11360863706773847,0.8121638358801633,0.9670189871550359,0.3335345419640614
IBOV constant basket,ex_2020_21,full,172,0.17615548650043333,0.525084405570639,0.07595595376692546,0.7601971742807279,0.6907213330113409,0.4897406803889566
IBOV constant basket,clean,swap_only,148,0.01339342307871283,0.8452450063436985,0.11572995756809493,1.0267424127724782,0.823229853787097,0.41037729495060504
IBOV constant basket,clean,focus_swap,148,0.10361515357950568,1.4564018849488938,0.19940884250393573,0.9519269934219535,1.5299512410226668,0.1260287984722459
IBOV constant basket,clean,focus_bcom_fx_swap,148,0.15479852182415554,1.059263079613738,0.14503306181888212,0.9320091572025743,1.1365372018372828,0.255731805156322
IBOV constant basket,clean,full,148,0.16306616331687562,0.7725188033000302,0.10577237091669583,0.8779480882215923,0.879913987699291,0.37890590658361534
IBOV constant basket,pre2020_clean,swap_only,93,0.0012805839725456014,0.28127360157687004,0.03578524797378613,1.645284380985916,0.17095743740563585,0.8642572328531424
IBOV constant basket,pre2020_clean,focus_swap,93,0.12778884433924786,1.3656098382182869,0.1737407507214211,1.485883272479857,0.9190559336058475,0.3580663166944098
IBOV constant basket,pre2020_clean,focus_bcom_fx_swap,93,0.14714671373073362,1.3502618111259932,0.17178808629672218,1.4456887198749515,0.93399207766025,0.35030797962544424
IBOV constant basket,pre2020_clean,full,93,0.16409425604305972,2.1646381820465734,0.2753977397231586,1.526724597349358,1.417831471245526,0.15623997357410513
IBOV constant basket,post2022,swap_only,55,0.09712415451752121,2.1717747477191947,0.3116474843754098,0.9963301307112751,2.1797742342377777,0.02927420074312148
IBOV constant basket,post2022,focus_swap,55,0.11464469921114562,2.2825329387456894,0.32754117300201796,1.0495347465714557,2.1748045466832835,0.02964476623769907
IBOV constant basket,post2022,focus_bcom_fx_swap,55,0.31930670760061175,0.867369794624941,0.12446669011229801,0.9398179505025388,0.922912564248365,0.356052772456648
IBOV constant basket,post2022,full,55,0.38385016101320013,0.33223416639701575,0.04767526756167051,0.8613476326890163,0.3857143780146275,0.6997082132179744
