target,sample,start,end,n,r2,adj_r2,invalid_nonpositive_windows_full,d_focus_pib3_beta,d_focus_pib3_beta_std,d_focus_pib3_t,d_focus_pib3_p,d_focus_pib3_partial_r2,d_bcom_usd3_beta,d_bcom_usd3_beta_std,d_bcom_usd3_t,d_bcom_usd3_p,d_bcom_usd3_partial_r2,d_usdbrl3_beta,d_usdbrl3_beta_std,d_usdbrl3_t,d_usdbrl3_p,d_usdbrl3_partial_r2,d_ipca12_3_available_beta,d_ipca12_3_available_beta_std,d_ipca12_3_available_t,d_ipca12_3_available_p,d_ipca12_3_available_partial_r2,d_swap360_3_beta,d_swap360_3_beta_std,d_swap360_3_t,d_swap360_3_p,d_swap360_3_partial_r2,focus_ibov_same_sample,focus_difference_vs_ibov,focus_difference_p,d_focus_pib3_q_bh,d_bcom_usd3_q_bh,d_usdbrl3_q_bh,d_ipca12_3_available_q_bh,d_swap360_3_q_bh,focus_difference_q_bh
Industrials,ex_2013_14,2009-04,2026-07,184,0.13381460012775392,0.10948354956954476,0,2.997954806769225,0.26770027791479883,1.0865906450896123,0.27721776121290276,0.05745422143248324,0.02844819540743848,0.02181391436380175,0.13021970708952774,0.8963926033317089,0.00025247680491369273,0.21765345214709075,0.1612156902068759,1.3353441624694393,0.1817637308506097,0.013324709088838094,-0.1212438264974207,-0.013462495236646152,-0.07701310472274428,0.9386131198694878,0.00012740524087151428,2.509348492780966,0.2721650730829949,1.996913625015704,0.04583456682598985,0.045990454941955194,6.179005187471408,-3.1810503807021786,0.1813475362348438,0.3811744216677413,0.9866714792407835,0.3998802078713414,0.9386131198694879,0.3888261902065162,0.2493528623229102
Industrials,ex_2020_21,2009-04,2026-07,184,0.1930971411337602,0.17043133049144998,0,-4.690567224088998,-0.35062180069342513,-3.2670969285039373,0.0010865647139834955,0.10162579903686009,0.06075202382236472,0.05405997725011111,0.4137979245092787,0.6790221041011555,0.00175892482383333,0.16653169180087346,0.1453105177070236,1.1688957595813987,0.24244563218707849,0.011130930689259744,-2.2017976116944005,-0.2653987402432412,-2.6053867146628655,0.009177061566828293,0.054449026495903,1.536515982120467,0.1788445464468315,1.6286618715972034,0.10338461853391645,0.02409950243872394,3.8491398290680143,-8.539707053157015,1.5398184949333427e-08,0.01195221185381845,0.8635982664161705,0.4234185263265951,0.06753675925125324,0.37176939688101707,1.693800344426677e-07
Industrials,clean,2009-04,2026-07,160,0.25845117876421064,0.2343749183344772,0,-4.881107283463601,-0.38229713208569854,-3.380886123168991,0.0007225248027011855,0.12177363746714531,0.06701096030655851,0.06108560219243596,0.44976532625031185,0.6528796619375763,0.0021920881593539,0.2073483887009262,0.18457994656318777,1.442000094207594,0.14930234703541245,0.01793434906472957,-2.8812848566032194,-0.3698580258004621,-4.199534845675141,2.674638687505393e-05,0.1024687033137398,2.0574972274055594,0.24077769579515643,2.255134425019126,0.0241248924204287,0.042622017329105755,4.166800677918155,-9.047907961381755,9.567506786822833e-10,0.00794777282971304,0.718167628131334,0.2737209695649228,0.0002942102556255932,0.13268690831235785,1.0524257465505116e-08
Industrials,ex_seams,2009-04,2026-07,193,0.12364723369629849,0.10021534154914069,0,3.0513848000913155,0.26298080958661507,1.1026227631008043,0.2701910207516316,0.056400635845086367,-0.013946660463035054,-0.01029791716573171,-0.07092040616038552,0.9434611024998742,6.092655143297154e-05,0.18215346463055893,0.13204052772820518,1.14738428917589,0.2512228314781524,0.009378078597709338,0.42069602297630393,0.04343463273271474,0.24754357722703232,0.804487570867769,0.0014017759842450683,2.2256937227477978,0.23592471109675528,1.8545143398967685,0.06366561052873698,0.03735574935695973,6.257300955716724,-3.2059161556254083,0.19276156182279003,0.37151265353349344,0.9434611024998744,0.39477873517995377,0.9328281158347742,0.3501608579080534,0.25027278386237445
Industrials,audit_clean,2009-04,2026-07,151,0.2634823749622862,0.23808521547822714,0,-4.635895364341248,-0.36919110914834785,-3.252955782822438,0.0011421126803268233,0.11286304157109772,0.03639723533394079,0.03316612086102988,0.2506588483628082,0.8020778793186312,0.0006363783939165035,0.21780638369081196,0.19677286924474388,1.5374064559268787,0.12419380642369138,0.020105013334253963,-2.9618004916419842,-0.3678712260804634,-4.1953081540519666,2.7250085194552298e-05,0.10629515842376591,1.9696479090499084,0.22637384782006081,2.105706173172055,0.0352298832780269,0.03967111162066783,4.442488062949742,-9.078383427290985,4.0029846104516764e-09,0.012563239483595057,0.9581476092413563,0.27322637413212103,0.0002997509371400753,0.19376435802914793,4.403283071496844e-08
Industrials,since_2020,2020-01,2026-07,79,0.5573590223696536,0.5270411471894929,0,8.157012182587511,0.7643935543128515,5.335405914737165,9.53310508311489e-08,0.42835329853405646,-0.31017285443269405,-0.2331719707801362,-1.012633047433473,0.311235468606204,0.02622440134990156,0.12268667245215426,0.07604005022926363,0.5649863088192267,0.5720830766270415,0.0028926212806783536,-0.8346532918769751,-0.09812599508087683,-0.5988785665284144,0.5492538652868593,0.006946436064617423,4.417549232030263,0.4669651850392013,2.650185449332162,0.008044759935771362,0.1316254973533535,6.517266411873479,1.63974577071404,0.36070410706517997,1.048641559142638e-06,0.5513720907474443,0.831904993950753,0.5842754380261526,0.0439300975918863,0.49596814721462246
Industrials,since_2022,2022-01,2026-07,55,0.3631199129263686,0.2981321489392633,0,0.39707458877908985,0.020166596595208114,0.1298159307828317,0.8967120586299351,0.00039440920267885815,0.08078749944592678,0.10863269974432252,0.6147058774887821,0.5387489776078633,0.006284720522767295,0.48220345365638523,0.45288143600433106,2.157239202526325,0.03098703139639314,0.0985559615359618,-2.112703076565708,-0.4371908822395428,-2.93073827365245,0.003381575513526691,0.17149629347791917,0.8424713791797069,0.13534533918984537,0.859431773352799,0.3901023462973514,0.011132923455493549,0.2982402843671333,0.09883430441195523,0.9772311542052887,0.9072887452862399,0.5622437023100817,0.08521433634008113,0.01308299492757555,0.7151876348784776,0.9772311542052887
Industrials,since_2022_ex_seams,2022-01,2026-07,52,0.35844363127072565,0.28870924336536974,0,0.5783700471940698,0.029387821218345378,0.18780529270278082,0.8510292866205149,0.0008412082602085036,0.06923799384972074,0.09137887117651058,0.48596050501817967,0.6269951684438939,0.00424002310546312,0.46971969549551107,0.4437411470576275,2.0030402260861826,0.04517297096458961,0.08930635582511559,-2.086904095692527,-0.43260540677738,-3.1802763050714375,0.0014713468745934932,0.16783775412878543,0.8426371041324903,0.13516920544184616,0.846028911838124,0.3975366157449711,0.011143409428259421,-0.25374865841430233,0.8321187056083673,0.8054246812294614,0.9361322152825664,0.7663274280980925,0.12298906550377922,0.007702461769056201,0.6247003961706689,0.9127750527660768
Information Technology,full,2020-04,2026-07,76,0.024773621474271867,-0.044885405563280134,0,-0.9401232980465728,-0.10645216675960692,-1.2007061208016214,0.22986521899469992,0.008701987762344099,0.002359426589998548,0.002019314119638571,0.01670560048955807,0.9866714792407836,2.3053211741785873e-06,-0.2184231542147007,-0.15426810621399994,-0.7428795984818786,0.4575545784175623,0.013260339458493697,-0.6213201570984397,-0.0895375748472208,-0.5471503577123578,0.5842754380261526,0.005231581610514846,0.4127522127106782,0.05360184728739115,0.5390141123378437,0.5898771169632702,0.0016372489856755212,6.7634522997471915,-7.703575597793769,4.50328663248456e-12,0.36121677270595703,0.9866714792407835,0.5033100362593185,0.8491138133525844,0.7209609207328858,4.953615295733016e-11
Information Technology,ex_2013_14,2020-04,2026-07,76,0.024773621474271867,-0.044885405563280134,0,-0.9401232980465728,-0.10645216675960692,-1.2007061208016214,0.22986521899469992,0.008701987762344099,0.002359426589998548,0.002019314119638571,0.01670560048955807,0.9866714792407836,2.3053211741785873e-06,-0.2184231542147007,-0.15426810621399994,-0.7428795984818786,0.4575545784175623,0.013260339458493697,-0.6213201570984397,-0.0895375748472208,-0.5471503577123578,0.5842754380261526,0.005231581610514846,0.4127522127106782,0.05360184728739115,0.5390141123378437,0.5898771169632702,0.0016372489856755212,6.7634522997471915,-7.703575597793769,4.50328663248456e-12,0.36121677270595703,0.9866714792407835,0.5642787060834379,0.9181471168982398,0.7209609207328858,4.953615295733016e-11
