"data_referencia","instituicoes_financeiras_participacao_pct","fundos_participacao_pct","nao_residentes_participacao_pct","previdencia_participacao_pct","governo_participacao_pct","seguradoras_participacao_pct","outros_participacao_pct"
"2016-06-30","18.302709249","19.082100149","5.675102421","35.296026672","11.944963825","4.541286893","5.157810791"
"2016-07-31","17.799757345","19.147812125","5.301071411","36.12630933","11.741260598","4.602030958","5.281758234"
"2016-08-31","15.696170207","18.649936713","5.169053397","38.214797369","11.58403126","4.841289154","5.8447219"
"2016-09-30","15.66651846","18.827724125","4.826716188","38.213226256","11.645516361","4.825747","5.99455161"
"2016-10-31","15.724323922","18.910366464","4.74511729","38.152279939","11.627956652","4.775683653","6.064272081"
"2016-11-30","15.591197813","17.969520868","4.400497261","38.879296628","11.809820478","4.97570866","6.373958292"
"2016-12-31","15.082642606","18.312446906","4.419640642","39.121194149","11.863402139","4.680409081","6.520264476"
"2017-01-31","14.456227587","18.984709923","4.32373147","39.236896192","11.766647401","4.671136373","6.560651053"
"2017-02-28","13.799854648","17.512108994","4.269288058","41.547274418","11.483597368","4.858113131","6.529763381"
"2017-03-31","13.193092375","17.965415429","4.521011876","41.807247552","11.296269626","4.790558936","6.426404206"
"2017-04-30","12.885299494","18.848399278","4.233575517","41.49148281","11.231246949","4.910568408","6.399427544"
"2017-05-31","11.350051134","18.081862877","4.24648975","44.028183771","10.647876679","4.935912736","6.709623053"
"2017-06-30","11.129457963","18.814316688","4.174176979","43.564358836","10.548984747","4.992289592","6.776415195"
"2017-07-31","11.202515458","19.726670357","3.80235639","42.941630912","10.489180674","5.150217495","6.687428713"
"2017-08-31","10.899988268","20.697779265","3.879657258","42.242190251","10.489281006","5.247506335","6.543597617"
"2017-09-30","11.106139093","21.129291338","3.729913721","42.217930234","10.440314297","5.081360314","6.295051003"
"2017-10-31","11.170996033","21.863863338","3.667902673","42.05358547","10.369151312","4.736077049","6.138424125"
"2017-11-30","11.219287006","22.08170802","3.376917726","42.23913341","10.300768776","4.709215037","6.072970024"
"2017-12-31","11.008770411","21.695110564","3.409589347","42.470817164","10.228860326","5.135571419","6.051280769"
"2018-01-31","10.333443263","22.652903325","3.285810538","42.923041692","10.159960787","4.697760403","5.947079992"
"2018-02-28","10.342673211","23.342393665","3.301887491","42.395902614","10.113471846","4.643527595","5.860143579"
"2018-03-31","9.881193678","23.935837534","3.248331315","42.497423377","10.02680195","4.612953816","5.79745833"
"2018-04-30","10.319572041","23.419254643","3.284230978","42.604250847","9.984138855","4.621048386","5.76750425"
"2018-05-31","10.819130458","22.46237185","3.217063289","43.018344108","9.963794097","4.681406575","5.837889624"
"2018-06-30","11.335609126","21.141156242","2.972622537","43.743403121","10.060719132","4.805001082","5.941488759"
"2018-07-31","11.64744857","21.088986198","2.966089543","43.567984839","10.079331455","4.674501399","5.975657996"
"2018-08-31","10.333693415","19.964995985","2.937977517","45.859203411","9.582505014","5.058213476","6.263411182"
"2018-09-30","10.471592599","20.810932435","2.333022118","45.290895108","9.531291773","5.205690726","6.356575241"
"2018-10-31","11.039105451","20.479435682","1.981372595","45.471053629","9.512670742","5.138926519","6.377435382"
"2018-11-30","11.024674338","20.744641167","1.800808203","45.419201152","9.480410298","5.223471277","6.306793565"
"2018-12-31","10.653671342","20.779984571","1.63436643","45.966040239","9.459613533","5.206945394","6.299378491"
"2019-01-31","9.998016558","20.98476282","1.797065327","46.355276189","9.370929276","5.293867862","6.200081969"
"2019-02-28","10.332696423","21.049640507","1.743655299","46.315098162","9.316958105","5.092412684","6.149538821"
"2019-03-31","10.758182854","20.90396432","1.742840798","45.912938975","9.497339147","5.014479581","6.170254324"
"2019-04-30","11.135146801","20.012292277","1.90337789","46.405736909","9.446366554","4.946201659","6.15087791"
"2019-05-31","8.663595557","20.177149219","2.073142314","49.280293807","8.793197806","5.206454677","5.80616662"
"2019-06-30","9.055906331","21.396858876","2.004246807","48.028715324","8.710854106","5.106160505","5.697258051"
"2019-07-31","8.478639538","20.080483267","2.00459264","50.195570907","8.586683594","5.047588321","5.606441732"
"2019-08-31","7.662165752","21.86318816","2.04758671","49.119368851","8.541432886","5.151385099","5.614872542"
"2019-09-30","7.062772456","21.183847525","2.068053886","50.410715109","8.511982156","5.202020592","5.560608277"
"2019-10-31","6.955630074","22.036963536","1.873708004","49.714919018","8.441081239","5.47979905","5.497899078"
"2019-11-30","6.42408996","22.125824123","1.730632864","50.287792859","8.411138727","5.577502914","5.443018554"
"2019-12-31","6.230724565","22.644610802","1.731514","50.087930064","8.364703082","5.569798857","5.370718631"
"2020-01-31","6.885527284","22.543153051","1.761608213","49.555849874","8.301145336","5.667445854","5.285270388"
"2020-02-29","7.354132421","22.697212712","1.820195851","49.042890327","8.201672082","5.672422768","5.211473839"
"2020-03-31","7.730777642","21.034787154","1.731011394","50.078307877","8.378929131","5.610788892","5.43539791"
"2020-04-30","8.196528609","20.959878473","1.75868711","49.710958335","8.3932172","5.430843087","5.549887185"
"2020-05-31","8.737789279","21.500738123","1.846677569","48.492748144","8.343680393","5.447693743","5.630672749"
"2020-06-30","8.196654111","22.632672519","1.886074002","48.143280256","8.134503973","5.450559062","5.556256077"
"2020-07-31","7.376107891","23.222077031","1.54915349","48.968881276","8.02297232","5.427834319","5.432973674"
"2020-08-31","6.354784457","22.780158345","1.606601771","50.540959692","7.600730681","5.644219235","5.472545819"
"2020-09-30","6.797677871","22.489272599","1.55777382","50.633867646","7.526048822","5.535274522","5.46008472"
"2020-10-31","7.148530645","22.863780866","1.58247874","49.941707419","7.379676651","5.654156812","5.429668866"
"2020-11-30","7.477482621","23.608948147","1.672459931","48.942315843","7.398133479","5.546471984","5.354187996"
"2020-12-31","7.372826679","25.399365157","1.755819086","47.513731543","7.199283947","5.382739631","5.376233958"
"2021-01-31","7.663859587","25.826220754","2.125606494","46.358777429","7.304289619","5.40657758","5.314668537"
"2021-02-28","8.372708551","24.374855317","2.151823296","47.010239896","7.28406664","5.515019364","5.291286936"
"2021-03-31","8.788575103","23.695839653","1.925893209","47.46241669","7.17038435","5.52296702","5.433923974"
"2021-04-30","9.870547715","23.067367081","2.024402842","46.642185912","6.907390902","6.193265252","5.294840296"
"2021-05-31","7.774424421","23.816257594","2.244651668","47.987965726","6.473950752","6.234770073","5.467979767"
"2021-06-30","7.979802624","24.601267355","2.431204494","47.345368153","6.196297005","6.02422983","5.42183054"
"2021-07-31","8.513613469","25.830675137","2.376179552","45.877171457","5.858227181","6.07461443","5.469518774"
"2021-08-31","8.831493217","25.552771892","2.554160883","45.425376264","5.80496157","6.195341638","5.635894537"
"2021-09-30","10.448306593","24.690983649","2.958376754","44.225116983","5.720510182","6.119988076","5.836717764"
"2021-10-31","10.452543194","23.708145023","3.117391885","44.760163646","5.802087677","6.048348886","6.111319689"
"2021-11-30","10.515025137","23.76892035","3.25949946","44.212357101","6.045114374","5.96879159","6.230291987"
"2021-12-31","11.008214072","23.560917332","3.270315511","43.595328216","6.167545315","6.029031577","6.368647978"
"2022-01-31","12.249886568","23.206304273","3.414655777","42.296595351","6.345550333","6.020210376","6.466797322"
"2022-02-28","12.541946924","22.936961215","3.291259593","42.245514141","6.278536578","6.02786157","6.677919978"
"2022-03-31","13.353451693","21.23490174","3.564635173","42.719976385","6.214422821","6.010255871","6.902356317"
"2022-04-30","13.489299904","20.279128905","3.744352928","43.354229045","6.143351695","5.961927688","7.027709835"
"2022-05-31","13.808937541","19.542331251","3.696322698","43.634457626","6.1050904","5.894969668","7.317890817"
"2022-06-30","14.523629522","19.271806612","3.801236744","42.83860212","6.048238975","5.785239358","7.731246669"
"2022-07-31","14.307759646","20.5501148","3.833469765","42.2015872","6.017665517","5.706927589","7.382475483"
"2022-08-31","13.415430916","20.254133378","3.23442837","44.357843566","5.249688839","6.081057496","7.407417436"
"2022-09-30","13.733843346","20.419978395","3.319946221","43.7591183","5.391692455","5.984477428","7.390943855"
"2022-10-31","14.038237861","20.47670659","3.277883348","43.476996722","5.509436862","5.95377299","7.266965626"
"2022-11-30","13.792236258","20.402210325","3.300304056","43.526379511","5.786857834","5.92790515","7.264106866"
"2022-12-31","14.208698232","19.932778457","3.181683694","43.723950363","5.823969212","5.886194259","7.242725784"
"2023-01-31","14.494420317","19.877267952","3.535143616","43.22192947","5.738575124","5.935892661","7.19677086"
"2023-02-28","15.037114224","19.674352427","3.511384873","42.967868639","5.703426737","5.875605691","7.23024741"
"2023-03-31","15.843803557","19.27855551","3.509953399","42.743898257","5.585073435","5.82503166","7.213684183"
"2023-04-30","17.051684877","19.122909242","3.369370841","42.102263705","5.47635048","5.74699829","7.130422566"
"2023-05-31","13.829001449","19.275720472","3.51961846","44.568507055","5.063245496","6.150865702","7.593041367"
"2023-06-30","14.092558351","20.108366008","3.418697276","43.49137229","5.245073923","6.128384814","7.515547339"
"2023-07-31","15.319673371","19.344482365","3.551476522","43.154835983","5.181895999","6.049371711","7.39826405"
"2023-08-31","15.391798021","18.850930512","3.294497082","43.739946104","5.315783279","6.110542275","7.296502725"
"2023-09-30","14.991390482","19.291983109","3.074880741","43.775229743","5.334193193","6.181840278","7.350482456"
"2023-10-31","14.724356968","19.478113058","3.146567305","43.865117761","5.311496144","6.108924508","7.365424256"
"2023-11-30","15.246306496","19.972777188","3.03647403","43.147273265","5.223789681","6.115333751","7.258045589"
"2023-12-31","15.18549923","20.104304544","2.738540101","43.529280647","4.95702972","6.108874162","7.376471595"
"2024-01-31","15.210913907","19.25211074","2.834924631","44.148682309","4.990955211","6.409831191","7.152582011"
"2024-02-29","16.186568269","18.52844333","2.844384955","43.745914714","5.079616159","6.414625205","7.200447366"
"2024-03-31","16.80856393","18.286520366","2.823638248","43.650531353","5.085472756","6.102258158","7.24301519"
"2024-04-30","16.567176268","18.103554544","2.924769192","43.773022648","5.029262934","6.114853347","7.487361068"
"2024-05-31","17.404106199","17.901325128","2.747263431","43.347244477","4.840423363","6.074120421","7.685516981"
"2024-06-30","18.119217909","17.21827125","2.703603313","43.34359251","4.654044903","6.020529291","7.940740823"
"2024-07-31","18.933764742","16.607204849","2.28240468","43.240837251","4.594030492","6.006341156","8.33541683"
"2024-08-31","14.442543963","16.656246298","2.238572813","46.891189917","4.49101691","6.46150773","8.81892237"
"2024-09-30","15.434111375","16.203592436","2.286609016","46.188874869","4.541284982","6.354440119","8.991087203"
"2024-10-31","15.638629012","16.289212349","2.297266249","45.927081918","4.56747322","6.198368016","9.081969236"
"2024-11-30","15.960991241","15.992271891","2.199466191","45.941242926","4.503874892","6.166770795","9.235382064"
"2024-12-31","16.328278145","15.320411007","2.133276465","45.980668483","4.568884979","6.154353443","9.514127478"
"2025-01-31","16.142184615","15.5770882","2.114441486","45.55322868","4.836453377","6.156181587","9.620422055"
"2025-02-28","16.996718733","15.738095889","2.148807839","44.615314854","4.896380749","6.075026012","9.529655923"
"2025-03-31","18.624752027","14.453302072","2.225849676","44.13272622","4.866280667","6.03649387","9.660595468"
"2025-04-30","18.741832074","15.390790831","2.307827122","43.241055582","4.748647896","5.899375848","9.670470647"
"2025-05-31","15.0123373","15.140911572","2.583747462","45.751502488","4.754194942","6.295913438","10.461392797"
"2025-06-30","15.944649904","14.31502526","2.862291269","45.813766298","4.672220266","6.0309675","10.361079504"
"2025-07-31","16.966522331","14.017625155","2.917177874","44.967026516","4.613212332","6.133239358","10.385196434"
"2025-08-31","16.545767959","14.211292657","2.959518554","45.077198696","4.65072084","6.07982598","10.475675314"
"2025-09-30","16.755118064","14.722178858","3.150096531","44.382246724","4.658567306","5.97376078","10.358031737"
"2025-10-31","16.868495065","14.84441984","3.126546231","44.046145443","4.639585885","5.948525346","10.52628219"
"2025-11-30","16.715055243","14.682679134","3.086805318","44.417243873","4.597722","5.959272433","10.541222"
"2025-12-31","16.278335117","14.441257617","3.097955182","44.811786162","4.582666246","5.897695582","10.890304094"
"2026-01-31","15.83626158","14.380048373","3.088121207","44.957787615","4.662985442","5.87824579","11.196549993"
"2026-02-28","15.867246857","14.003268217","3.24742492","44.959590545","4.649382781","5.812927886","11.460158794"
"2026-03-31","15.470521444","13.378715092","3.371077352","45.25304842","4.593030608","5.835296725","12.098310358"
"2026-04-30","15.825368769","13.779051028","3.229220769","44.98475416","4.54712523","5.509360481","12.125119563"
"2026-05-31","15.926339884","13.287010912","2.876200213","45.269021167","4.521514019","5.760619464","12.359294341"
