data,in_position,cdi_return,overlay_excess_return,long_return,short_underlying_return,strategy_total_return,always_on_wealth,cdi_wealth,relative_wealth
2021-03-01,True,7.46899999999763e-05,-0.0026273110229933097,0.01442375416416933,0.01967837621015595,-0.0025526210229933335,173.69432301893374,176.3085282690844,98.51725536148722
2021-03-02,True,7.46899999999763e-05,0.006258598135036224,0.001729027908665208,-0.01078816836140724,0.0063332881350362,174.79437921403272,176.32169675306082,99.13378922324736
2021-03-03,True,7.46899999999763e-05,0.018139148070770213,0.031034090251787202,-0.0052442058897532225,0.01821383807077019,177.9780557327179,176.3348662205913,100.93185740707173
2021-03-04,True,7.46899999999763e-05,-0.011300067194192367,0.008569670616704923,0.03116980500508966,-0.011225377194192391,175.98018492482913,176.3480366717493,99.79140581666645
2021-03-05,True,7.46899999999763e-05,0.0053615890806933755,-0.033160213091565575,-0.043883391252952327,0.005436279080693352,176.93686232275257,176.3612081066083,100.3264063692489
2021-03-08,True,7.46899999999763e-05,0.004363937691899582,-0.0028198467238062168,-0.011547722107605381,0.004438627691899558,177.72221917957614,176.37438052524178,100.76419185729839
2021-03-09,True,7.46899999999763e-05,0.00548199763233894,0.024583673130423936,0.013619677865746057,0.005556687632338916,178.7097660368831,176.3875539277232,101.316539663627
2021-03-10,True,7.46899999999763e-05,0.0016987631347356088,0.026475448632392727,0.02307792236292151,0.001773453134735585,179.02669943166907,176.40072831412604,101.48863961200139
2021-03-11,True,7.46899999999763e-05,0.006799331941775592,0.00964272999842377,-0.003955933885127413,0.006874021941775568,180.257332891726,176.4139036845238,102.17864302468773
2021-03-12,True,7.46899999999763e-05,0.010937940755319125,0.02084601903477178,-0.00102986247586647,0.011012630755319101,182.24244033980122,176.42708003899,103.2961834994526
2021-03-15,True,7.46899999999763e-05,-0.009214157107949185,-0.013765804331329961,0.00466250988456841,-0.009139467107949209,180.5768415506432,176.4402573775981,102.34446731971855
2021-03-16,True,7.46899999999763e-05,-0.0010419529386334562,0.02781985694886954,0.02990376282613645,-0.0009672629386334798,180.40217626423578,176.45343570042164,102.23783716544813
2021-03-17,True,0.00010378999999997404,0.0005689418023143867,-0.022891236051200782,-0.024029119655829555,0.0006727318023143608,180.52353854541545,176.471749802513,102.29599850822397
2021-03-18,True,0.00010378999999997404,0.015543671142792918,0.03129804241186199,0.00021070012627614915,0.015647461142792893,183.3482736001643,176.49006580542502,103.8858888535405
