block,signal_date,entry_date,exit_date,long_return,short_underlying_return,pure_spread_return,overlay_excess_return,cdi_return,strategy_block_return
22,2016-03-30,2016-03-31,2016-05-02,-0.016133522744542626,0.04856990205211907,-0.06319053766838263,-0.03160866410442634,0.011074797767651967,-0.02053386633677437
23,2016-05-02,2016-05-03,2016-06-02,0.030425195537439532,-0.010334874168107602,0.04113937978316099,0.020796044984444317,0.011074797767651967,0.031870842752096284
24,2016-06-02,2016-06-03,2016-07-04,0.015606060536454415,0.08162053634893679,-0.06149246459746657,-0.0309749206014696,0.011074797767651967,-0.019900122833817632
25,2016-07-04,2016-07-05,2016-08-03,0.09019429701090215,0.09608415825860728,-0.0061396445406152024,-0.002933137548606856,0.011074797767651967,0.00814166021904511
26,2016-08-03,2016-08-04,2016-09-02,0.07831303354704766,-0.009608930274840576,0.08845549802069363,0.04360206265781624,0.011074797767651967,0.05467686042546821
27,2016-09-02,2016-09-05,2016-10-05,0.0035189145600902165,-0.024349559779258304,0.02868659773182624,0.014485049290693802,0.011074797767651967,0.02555984705834577
28,2016-10-05,2016-10-06,2016-11-08,0.04418236657397826,0.025736433038319816,0.01707240219468152,0.008779169368998493,0.010960511129821437,0.019739680498819932
29,2016-11-08,2016-11-09,2016-12-09,-0.047138949382754515,-0.02957290142572208,-0.01916652154596378,-0.009233025028409956,0.010828445283239008,0.0015954202548290521
30,2016-12-09,2016-12-12,2017-01-11,0.05994144689108122,0.10681542962134807,-0.04292450728630125,-0.02145818255749834,0.011217581886066474,-0.010240600671431864
31,2017-01-11,2017-01-12,2017-02-13,0.0462853926248166,0.13058369103796866,-0.0763271391733945,-0.03866645776902018,0.010633171602047353,-0.02803328616697283
32,2017-02-13,2017-02-14,2017-03-17,0.0032635128692520225,-0.03530680846868075,0.035996402722879156,0.01829426155925825,0.009746589810280426,0.028040851369538676
33,2017-03-17,2017-03-20,2017-04-19,0.022762112797768953,-0.011969145576073044,0.03252527369993631,0.016464060581163908,0.009442778863634427,0.025906839444798335
34,2017-04-19,2017-04-20,2017-05-23,0.05199832967661895,-0.04744842688083959,0.0975743473900543,0.048160369584047846,0.008833001098245585,0.05699337068229343
35,2017-05-23,2017-05-24,2017-06-23,-0.009151549177164053,-0.02416195904833363,0.014818716253679986,0.007566884440295802,0.00826005376030614,0.015826938200601944
36,2017-06-23,2017-06-26,2017-07-25,0.07680348917765409,0.10806074215703276,-0.029127888888716286,-0.014512379785996812,0.008081074457169546,-0.006431305328827266
37,2017-07-25,2017-07-26,2017-08-24,0.13833648237963342,0.1177598148574466,0.01718155658620915,0.00880148633276003,0.007315090559190773,0.016116576891950805
38,2017-08-24,2017-08-25,2017-09-26,0.07878844489717271,0.05560002936048364,0.020727133339483735,0.010500332539801585,0.0068368666055098615,0.017337199145311448
39,2017-09-26,2017-09-27,2017-10-27,0.049829996527653506,0.0034834123831076103,0.04394575482328513,0.022028314340622437,0.006487084284685141,0.028515398625307577
40,2017-10-27,2017-10-30,2017-12-01,0.015403772550408302,-0.11654611835064649,0.1466651437257678,0.07111554078846521,0.006243650266061884,0.0773591910545271
41,2017-12-01,2017-12-04,2018-01-05,0.10602231804396457,0.08361423031995112,0.020383836755018075,0.010370837917455097,0.005871108581629647,0.016241946499084746
42,2018-01-05,2018-01-08,2018-02-07,-0.008195237557314203,0.025753989886903462,-0.03489352679433136,-0.017416147380478104,0.00583386199996716,-0.011582285380510943
43,2018-02-07,2018-02-08,2018-03-13,0.0034730565187840266,0.08445387131395646,-0.07584903994871933,-0.03842434328518271,0.005371843437284474,-0.03305249984789824
44,2018-03-13,2018-03-14,2018-04-13,-0.007930840530114398,-0.027832635273711923,0.01987966051923678,0.010135463884060735,0.00522197110426581,0.015357434988326545
45,2018-04-13,2018-04-16,2018-05-16,-0.016857272019608648,-0.03423122189133695,0.016451494623029236,0.008374849918017303,0.0051751405821482965,0.0135499905001656
46,2018-05-16,2018-05-17,2018-06-18,-0.060655180772761025,-0.0659999509890648,0.006113026927680095,0.003574724239997898,0.0051751405821482965,0.008749864822146194
47,2018-06-18,2018-06-19,2018-07-19,0.10818254531744578,0.031042462732736968,0.07442099746018004,0.03691515392159094,0.005422242786957465,0.04233739670854841
48,2018-07-19,2018-07-20,2018-08-20,-0.029240257959981048,0.003847339482397412,-0.032997359819274805,-0.016389747175801644,0.0051751405821482965,-0.011214606593653347
49,2018-08-20,2018-08-21,2018-09-20,-0.016074316997342172,-0.03141758567346146,0.016396404399671428,0.008515970445345699,0.0051751405821482965,0.013691111027493996
50,2018-09-20,2018-09-21,2018-10-23,0.14943658818865924,0.025744591669502416,0.1223425720732021,0.05980283439959307,0.0051810897730026895,0.06498392417259577
51,2018-10-23,2018-10-24,2018-11-27,0.06048955283547034,0.12380219289009901,-0.058272943844760915,-0.02924529687695812,0.0054304249443852814,-0.02381487193257284
52,2018-11-27,2018-11-28,2019-01-02,0.02432940585774887,0.05508282814222886,-0.030164530204385642,-0.01503904017560306,0.0056779619150060245,-0.009361078260597035
53,2019-01-02,2019-01-03,2019-02-04,0.0669435629638047,0.06071493860415298,0.0043794531100192855,0.0024357164531574158,0.005430424944385059,0.007866141397542475
54,2019-02-04,2019-02-05,2019-03-08,0.07487654584646918,-0.03695561624791254,0.11354568109238036,0.05573393412712388,0.005182948902365592,0.06091688302948947
55,2019-03-08,2019-03-11,2019-04-09,-0.009359182429973524,-0.02588720733865582,0.016175020247082707,0.008158530619683704,0.005182948902365592,0.013341479522049296
56,2019-04-09,2019-04-10,2019-05-13,-0.004689456091490011,-0.02069077383975331,0.014862223175228074,0.007701915011911965,0.005182948902365592,0.012884863914277556
