signal_index,signal_date,entry_date,exit_date,n_long,n_short,long_return,short_underlying_return,pure_spread_return,overlay_excess_return,long_quality_mean,short_quality_mean,raw_dispersion_z,sma21_z,sma21_high_cross,bucket
1583,2020-10-06,2020-10-07,2020-11-09,10,10,0.07537868632860631,0.10366779886175456,-0.02781057142463138,-0.013415253396401485,59.94352523882479,46.054300846827374,0.3344484699247521,1.8639300613196683,False,> +1.5
1584,2020-10-07,2020-10-08,2020-11-10,10,10,0.05976738728034597,0.07404889545638546,-0.014883108370091547,-0.006916889752771608,59.94352523882479,46.64298238184574,-0.1634836999686948,1.7361760968840825,False,> +1.5
1585,2020-10-08,2020-10-09,2020-11-11,10,10,0.05196463136849222,0.06506452340894829,-0.014530253246453758,-0.006743590195561726,60.31348609948331,46.05430084682738,0.7818716540482158,1.6854075519077856,False,> +1.5
1586,2020-10-09,2020-10-13,2020-11-12,10,10,0.01856334033219055,0.03214939568241339,-0.015264115905372492,-0.007127967282586198,61.918249299552315,46.05430084682738,0.5693416344660044,1.6312816226041844,False,> +1.5
1587,2020-10-13,2020-10-14,2020-11-13,10,10,0.03595394259498777,0.03855211905855017,-0.004291414949354154,-0.0016124661978296712,61.535121454098885,49.18068281963969,0.7254494715404337,1.574081972867746,False,> +1.5
1588,2020-10-14,2020-10-15,2020-11-16,10,10,0.0359274376457032,0.03151050252471179,0.00260396294267652,0.001842370713619018,60.95417422421641,49.18068281963969,0.3680688990003362,1.4675866646246656,False,+0.5 to +1.5
1589,2020-10-15,2020-10-16,2020-11-17,10,10,0.04884286740025338,0.013312112170700753,0.03251409141071807,0.016957729557547676,64.99503978189513,49.925803517496455,0.3264102868825272,1.3476176373575963,False,+0.5 to +1.5
1590,2020-10-16,2020-10-19,2020-11-18,10,10,0.017153732749911554,-0.002964345128787149,0.017829624840672596,0.009711699706790974,63.66915222963047,49.925803517496455,-0.1873189952661505,1.2337560061561068,False,+0.5 to +1.5
1591,2020-10-19,2020-10-20,2020-11-19,10,10,0.004791088919835985,-0.02637227515769812,0.030087806733573176,0.015747287199774015,63.66915222963047,49.367424743533405,-0.2291419491546296,1.0980797516205674,False,+0.5 to +1.5
1592,2020-10-20,2020-10-21,2020-11-20,10,10,-0.005922363530509128,-0.0217941804455974,0.014079076301112936,0.007795622049924463,62.4147102461187,49.36742474353341,0.0540754418582207,0.9738284565355338,False,+0.5 to +1.5
1593,2020-10-21,2020-10-22,2020-11-23,10,10,-0.012541614074974663,0.0041678502158313735,-0.018500738517292933,-0.008629336080485968,65.06609263867458,51.01865533595861,0.5018157929141994,0.8539770591734053,False,+0.5 to +1.5
